ID,Link,Date,Username,Message,Country,Like,Topic,Thread
4108404,https://www.canadavisa.com/threads/express-entry-step-by-step-instructions.273928/,"Mar 9, 2015 at 10:13 AM",keerthiv,"Hello people,<br/><br/>Need your help/advice/suggestion.<br/><br/>is there a thread in this forum that someone can point me to, that will provide a step-by-step instructions of how to apply for Express Entry process(in order).<br/>If here is no thread of that can, could someone who has in-depth understanding of the process,  kindly create one and put it as sticky?<br/><br/>I am bit confused as to what would be the first step in applying for the EE and its corresponding steps.<br/>Though website provide instructions to certain extent, i am not entirely convinced as i understand there is lot more required than what is mentioned on the website.<br/><br/>These instruction will be helpful not just to me but many aspirants who are seeking a lucid understanding of the process.<br/><br/>Thank you all for your time. <img alt="":)"" class=""mceSmilieSprite mceSmilie1"" src=""styles/default/xenforo/clear.png"" title=""Smile    :)""><div class=""messageTextEndMarker""> </div></img>",NA,156,Express Entry / Expression of Interest,Express Entry Step by step instructions.
4108507,https://www.canadavisa.com/threads/express-entry-step-by-step-instructions.273928/#post-4108507,"Mar 9, 2015 at 10:13 AM",keerthiv,"It's all on the CIC site: http://www.cic.gc.ca/english/immigrate/skilled/index.asp<br/><br/>But...<br/><br/>(Please note that this info does not apply to the Federal Skilled Trades Program)<br/><br/><b>1) Determine your eligibility</b> by doing this CIC quiz http://www.cic.gc.ca/ctc-vac/ee-start.asp<br/><br/><b>2) Get your language test(s) done. </b>You must get at least CLB 7 in each of the four sections for the Federal Skilled Worker (FSW), Provincial Nomination Program (PNP) or Canadian Experience Class (CEC) streams. But getting CLB 10 gives you maximum points for language. <br/><br/>How does CLB match back to the language tests? That info is here --&gt; http://www.cic.gc.ca/english/resources/tools/language/charts.asp<br/><br/><b>3)</b> Get your qualifications assessed by doing an <b>Education Credential Assessment</b>. Details here --&gt; http://www.cic.gc.ca/english/immigrate/skilled/assessment.asp<br/><br/><b>4)</b> Determine the code that best applies to you on the <b>National Occupation Classification (NOC)</b> list http://www.cic.gc.ca/english/immigrate/skilled/noc.asp<br/><br/>The occupation must be NOC 0, A, or B for FSW or CEC. <br/><br/><b>5)</b> When you have those in hand you <b>create your express entry profile</b>. http://www.cic.gc.ca/english/immigrate/skilled/profile.asp and <b>register for the Job Bank</b> http://www.jobbank.gc.ca/home-eng.do?lang=eng<br/><br/>You'll be given points based on your age, education, number of years work experience, and language skills. The points system is detailed here --&gt; http://www.cic.gc.ca/english/express-entry/grid-crs.asp<br/><br/>You'll be in a pool with thousands of other applicants http://www.cic.gc.ca/english/immigrate/skilled/pool.asp<br/><br/>Of course, the more points you have the better. The max is 1200, with 600 of those points coming from  your ability to snag a PNP or a job offer with a very hard to get Labour Market Impact Assessment http://www.cic.gc.ca/english/work/employers/lmo-basics.asp<br/><br/>For CEC applicants, the max is 600 but someone who has no work experience in Canada who is only eligible for FSW can only get up to 520 points.<br/><br/><b>6) Finally, wait for your invitation to apply (ITA</b>). But in the interim you will need to do the following:<br/><br/>a) Have your <b>application fee</b> (C$550 each for principal applicant and spouse) and <b>right of permanent resident fee</b> (C$490 each for principal applicant and spouse) ready <br/>http://www.cic.gc.ca/english/information/fees/fees.asp<br/><br/>b) Identify how you will provide<b> proof of funds </b>http://www.cic.gc.ca/english/immigrate/skilled/funds.asp<br/><br/>c) check out what is required for the <b>police certificates </b>http://www.cic.gc.ca/English/information/security/police-cert/index.asp<br/><br/>d) find out how long it takes to get a date for the<b> medical exam</b>. http://www.cic.gc.ca/english/information/medical/medexams-perm.asp<br/><br/>e) contact previous and current employers about them providing <b>job letters</b>. You must have at least 12 months of full-time, or an equal amount in part-time, skilled work experience. Full-time work means at least 30 hours of paid work per week. Work experience while you were a full-time student does not count.   <br/><br/>f) <b>research cities</b> in the province(s) where you want to live.						<div class=""messageTextEndMarker""> </div>",NA,510,Express Entry / Expression of Interest,Express Entry Step by step instructions.
4108562,https://www.canadavisa.com/threads/express-entry-step-by-step-instructions.273928/#post-4108562,"Mar 9, 2015 at 10:58 AM",keerthiv,"Yampower excellent thank you,we are waiting for the ECA report and will create the profile						<div class=""messageTextEndMarker""> </div>",NA,12,Express Entry / Expression of Interest,Express Entry Step by step instructions.
4109447,https://www.canadavisa.com/threads/express-entry-step-by-step-instructions.273928/#post-4109447,"Mar 9, 2015 at 11:10 AM",AnkSan,"You're welcome. <br/><br/>Can someone report the thread to the moderator to ask that it becomes a sticky? This question gets asked quite often.						<div class=""messageTextEndMarker""> </div>",NA,510,Express Entry / Expression of Interest,Express Entry Step by step instructions.
4109491,https://www.canadavisa.com/threads/express-entry-step-by-step-instructions.273928/#post-4109491,"Mar 9, 2015 at 3:03 PM",ninad116,"yampower.. seriously nice work.. ll help a lot of ppl..						<div class=""messageTextEndMarker""> </div>",NA,17,Express Entry / Expression of Interest,Express Entry Step by step instructions.
4109660,https://www.canadavisa.com/threads/express-entry-step-by-step-instructions.273928/#post-4109660,"Mar 9, 2015 at 3:14 PM",Osvaldotimpi,"Yam to the Power of well earned +1.						<div class=""messageTextEndMarker""> </div>",NA,505,Express Entry / Expression of Interest,Express Entry Step by step instructions.
4109690,https://www.canadavisa.com/threads/express-entry-step-by-step-instructions.273928/#post-4109690,"Mar 9, 2015 at 4:14 PM",YamPower,"<div class=""bbCodeBlock bbCodeQuote"" data-author=""YamPower""><aside><div class=""attribution type"">YamPower said:							</div><blockquote class=""quoteContainer""><div class=""quote"">It's all on the CIC site: http://www.cic.gc.ca/english/immigrate/skilled/index.asp<br/><br/>But...<br/><br/>(Please note that this info does not apply to the Federal Skilled Trades Program)<br/><br/><b>1) Determine your eligibility</b> by doing this CIC quiz http://www.cic.gc.ca/ctc-vac/ee-start.asp<br/><br/><b>2) Get your language test(s) done. </b>You must get at least CLB 7 in each of the four sections for the Federal Skilled Worker (FSW), Provincial Nomination Program (PNP) or Canadian Experience Class (CEC) streams. But getting CLB 10 gives you maximum points for language. <br/><br/>How does CLB match back to the language tests? That info is here --&gt; http://www.cic.gc.ca/english/resources/tools/language/charts.asp<br/><br/><b>3)</b> Get your qualifications assessed by doing an <b>Education Credential Assessment</b>. Details here --&gt; http://www.cic.gc.ca/english/immigrate/skilled/assessment.asp<br/><br/><b>4)</b> Determine the code that best applies to you on the <b>National Occupation Classification (NOC)</b> list http://www.cic.gc.ca/english/immigrate/skilled/noc.asp<br/><br/>The occupation must be NOC 0, A, or B for FSW or CEC. <br/><br/><b>5)</b> When you have those in hand you <b>create your express entry profile</b>. http://www.cic.gc.ca/english/immigrate/skilled/profile.asp and <b>register for the Job Bank</b> http://www.jobbank.gc.ca/home-eng.do?lang=eng<br/><br/>You'll be given points based on your age, education, number of years work experience, and language skills. The points system is detailed here --&gt; http://www.cic.gc.ca/english/express-entry/grid-crs.asp<br/><br/>You'll be in a pool with thousands of other applicants http://www.cic.gc.ca/english/immigrate/skilled/pool.asp<br/><br/>Of course, the more points you have the better. The max is 1200, with 600 of those points coming from  your ability to snag a PNP or a job offer with a very hard to get Labour Market Impact Assessment http://www.cic.gc.ca/english/work/employers/lmo-basics.asp<br/><br/>For CEC applicants, the max is 600 but someone who has no work experience in Canada who is only eligible for FSW can only get up to 520 points.<br/><br/><b>6) Finally, wait for your invitation to apply (ITA</b>). But in the interim you will need to do the following:<br/><br/>a) Have your <b>application fee</b> (C$550 for principal applicant) and <b>right of permanent resident fee</b> (C$490 each for principal applicant and spouse) ready <br/>http://www.cic.gc.ca/english/information/fees/fees.asp<br/><br/>b) Identify how you will provide<b> proof of funds </b>http://www.cic.gc.ca/english/immigrate/skilled/funds.asp<br/><br/>c) check out what is required for the <b>police certificates </b>http://www.cic.gc.ca/English/information/security/police-cert/index.asp<br/><br/>d) find out how long it takes to get a date for the<b> medical exam</b>. http://www.cic.gc.ca/english/information/medical/medexams-perm.asp<br/><br/>e) contact previous and current employers about them providing <b>job letters</b>. You must have at least 12 months of full-time, or an equal amount in part-time, skilled work experience. Full-time work means at least 30 hours of paid work per week. Work experience while you were a full-time student does not count.   <br/><br/>f) <b>research cities</b> in the province(s) where you want to live.</div><div class=""quoteExpand"">Click to expand...</div></blockquote></aside></div><br/>Excellent...thanks						<div class=""messageTextEndMarker""> </div>",NA,2,Express Entry / Expression of Interest,Express Entry Step by step instructions.
4109714,https://www.canadavisa.com/threads/express-entry-step-by-step-instructions.273928/#post-4109714,"Mar 9, 2015 at 4:25 PM",YamPower,"Very good Info, Thanks<br/><br/> i want to Apply alone without wife and kid,  and if i get success is it easy to call the family there. is this good idea?						<div class=""messageTextEndMarker""> </div>",NA,4,Express Entry / Expression of Interest,Express Entry Step by step instructions.
4110181,https://www.canadavisa.com/threads/express-entry-step-by-step-instructions.273928/#post-4110181,"Mar 9, 2015 at 4:31 PM",OUATT_S,"<div class=""bbCodeBlock bbCodeQuote"" data-author=""Scary-storm""><aside><div class=""attribution type"">Scary-storm said:							</div><blockquote class=""quoteContainer""><div class=""quote"">Very good Info, Thanks<br/><br/> i want to Apply alone without wife and kid,  and if i get success is it easy to call the family there. is this good idea?</div><div class=""quoteExpand"">Click to expand...</div></blockquote></aside></div>NO. Not a good idea at all. You cannot say you are single if you have a spouse and child. That is called misrepresentation and can get you a ban from Canada for several years. You must include them in your application and if granted a visa, you can choose when they arrive after you land, as long as it is within a year or prior to expiry of their passports, which ever is first.						<div class=""messageTextEndMarker""> </div>",NA,505,Express Entry / Expression of Interest,Express Entry Step by step instructions.
4112140,https://www.canadavisa.com/threads/express-entry-step-by-step-instructions.273928/#post-4112140,"Mar 9, 2015 at 7:44 PM",JonaKS,"YamPower --&gt; Respect!!. <br/><br/>Thank you very much for such detailed info.  <br/><br/>If possible,  your info can be made into a Sticky. <br/><br/>I am sure your info will help lot of other aspirants.						<div class=""messageTextEndMarker""> </div>",NA,156,Express Entry / Expression of Interest,Express Entry Step by step instructions.
4113872,https://www.canadavisa.com/threads/express-entry-step-by-step-instructions.273928/#post-4113872,"Mar 10, 2015 at 9:00 AM",Omare,"<div class=""bbCodeBlock bbCodeQuote"" data-author=""Pippin""><aside><div class=""attribution type"">Pippin said:							</div><blockquote class=""quoteContainer""><div class=""quote"">NO. Not a good idea at all. You cannot say you are single if you have a spouse and child. That is called misrepresentation and can get you a ban from Canada for several years. You must include them in your application and if granted a visa, you can choose when they arrive after you land, as long as it is within a year or prior to expiry of their passports, which ever is first.</div><div class=""quoteExpand"">Click to expand...</div></blockquote></aside></div>Thanks for info.<br/><br/>I mean to say that i will not mention myself as single. But i want apply for Immigration as a single, is it not possible?						<div class=""messageTextEndMarker""> </div>",NA,4,Express Entry / Expression of Interest,Express Entry Step by step instructions.
